,FID,mmsi,source_id,imo,vessel_name,callsign,vessel_type,vessel_type_code,vessel_type_cargo,vessel_class,length,width,flag_country,flag_code,destination,eta,draught,position,longitude,latitude,sog,cog,rot,heading,nav_status,nav_status_code,source,ts_pos_utc,ts_static_utc,dt_pos_utc,dt_static_utc,vessel_type_main,vessel_type_sub,message_type,eeid,dtg,geometry,index_right,PORT_NAME,COUNTRY,enter_time,exit_time,port_status,duration,next_port
0,000efbba63b618f73a4936febe82018f,371821000,66,9298557.0,M/V VINCA,3EEV2,Cargo,70,,A,190,32,Panama,371.0,ID SRH,9220500,10.9,POINT (131.74594333333334 34.005605),131.7459,34.0056,0.0,51.1,0.0,3,At Anchor,1,T-AIS,20220930180002,20220930180002,2022-09-30 18:00:02,2022-09-30 18:00:02,,,3,,2022-09-30T18:00:02,POINT (131.7459 34.0056),119.0,TONDA,JP,2022-09-30 18:00:02,Docked,,Docked,None
0,33021df3cd969071a8452ecb08cb30d9,431501729,66,,HOEI MARU NO.15,JL6692,Cargo,73,"Carrying DG,HS or MP,IMO hazard or Pollutant Category Z",A,81,16,Japan,431.0,>JP OQA,9300800,5.2,POINT (135.32029166666666 34.60265),135.3203,34.6026,0.0,57.5,0.0,27,At Anchor,1,T-AIS,20220930180007,20220930180007,2022-09-30 18:00:07,2022-09-30 18:00:07,,,3,,2022-09-30T18:00:07,POINT (135.3203 34.6026),88.0,AMAGASAKI,JP,2022-09-30 18:00:07,Docked,,Docked,None
0,b48cb041f6e0b1589dc63eb477cfca1f,431000611,139,8738304.0,KAIFUKU MARU,JD2749,Cargo,70,,A,68,11,Japan,431.0,>JP CH,9301200,4.0,POINT (140.05560333333332 35.56675),140.0556,35.5667,0.1,0.0,0.0,347,At Anchor,1,V-AIS,20220930180015,20220930180015,2022-09-30 18:00:15,2022-09-30 18:00:15,,,3,,2022-09-30T18:00:15,POINT (140.0556 35.5667),71.0,CHIBA,JP,2022-09-30 18:00:15,Docked,,Docked,None
0,fc86cd3c187adb2a4d886dfa8f626bf5,431002141,139,9597446.0,TETSUZAN MARU,JD3145,Cargo,70,,,72,12,Japan,431.0,>JP FNDERS,9291320,4.5,POINT (139.9715 35.680566666666664),139.9715,35.6806,0.0,175.7,0.0,102,Moored,5,V-AIS,20220930180016,20220930180016,2022-09-30 18:00:16,2022-09-30 18:00:16,,,5,,2022-09-30T18:00:16,POINT (139.9715 35.6806),151.0,KATSUNAN,JP,2022-09-30 18:00:16,2022-09-30 22:07:27,,0 days 04:07:11,CHIBA
0,7f14504e434559e1496d06cab4304f2a,440273000,139,9329576.0,OSAKA VOYAGER,D7AA,Cargo,70,,A,129,20,South Korea,440.0,JPOITA-SSJ,9301600,7.2,POINT (131.78094833333333 33.27737833333333),131.7809,33.2774,0.0,334.6,0.0,262,At Anchor,1,V-AIS,20220930180018,20220930180018,2022-09-30 18:00:18,2022-09-30 18:00:18,,,3,,2022-09-30T18:00:18,POINT (131.7809 33.2774),135.0,OITA,JP,2022-09-30 18:00:18,2022-10-01 06:17:03,,0 days 12:16:45,None
0,629c10a70c4cf65eccd44466b3cbde55,431004411,139,,YUSEIMARU,JD3502,Cargo,70,,A,76,12,Japan,431.0,>JP KU OFF,10010930,3.5,POINT (139.6771 35.284933333333335),139.6771,35.2849,0.0,117.8,0.0,56,Under Way Using Engine,0,V-AIS,20220930180018,20220930180018,2022-09-30 18:00:18,2022-09-30 18:00:18,,,1,,2022-09-30T18:00:18,POINT (139.6771 35.2849),98.0,YOKOSUKA,JP,2022-09-30 18:00:18,2022-09-30 23:14:09,,0 days 05:13:51,KAWASAKI
0,1f67392759907f12eca14edd74f79e80,431002294,66,9606297.0,MITUHIRO7,JD3174,Cargo,70,,,75,12,Japan,431.0,>JP KO>SG SIN,9301800,4.7,POINT (130.87626666666668 33.90788333333333),130.8763,33.9079,0.0,247.0,0.0,62,Under Way Using Engine,0,T-AIS,20220930180023,20220930180023,2022-09-30 18:00:23,2022-09-30 18:00:23,,,5,,2022-09-30T18:00:23,POINT (130.8763 33.9079),9.0,KOKURA,JP,2022-09-30 18:00:23,2022-10-01 01:43:24,,0 days 07:43:01,MUTUREZIMA
0,c2ef11e018ce91739f1a5666182fe245,431013045,139,9854600.0,SUOU,JD4569,Cargo,70,,A,179,27,Japan,431.0,JP KNDBERAU,10030030,6.5,POINT (139.78777666666667 35.621875),139.7878,35.6219,0.0,232.4,0.0,328,Moored,5,V-AIS,20220930180024,20220930180024,2022-09-30 18:00:24,2022-09-30 18:00:24,,,3,,2022-09-30T18:00:24,POINT (139.7878 35.6219),112.0,TOKYO,JP,2022-09-30 18:00:24,2022-10-01 11:52:32,,0 days 17:52:08,None
0,a92cc9e3a98d641a13cfb07a0685c81f,354162000,139,9538983.0,KEN EI,3FEZ8,Cargo,70,,,177,28,Panama,354.0,JP KWQ SITE 2NM CPA,9301420,8.7,POINT (139.79061666666666 35.46475),139.7906,35.4648,0.0,172.3,0.0,23,At Anchor,1,V-AIS,20220930180034,20220930180034,2022-09-30 18:00:34,2022-09-30 18:00:34,,,5,,2022-09-30T18:00:34,POINT (139.7906 35.4648),72.0,KAWASAKI,JP,2022-09-30 18:00:34,2022-10-01 06:30:42,,0 days 12:30:08,None
0,f284d260ec01b50b14a0b59319c5fcc9,352001756,66,9952206.0,APOLLO TWIN,3E2592,Cargo,70,,A,120,21,Panama,352.0,JP NGL,9300430,5.4,POINT (136.878255 35.042343333333335),136.8783,35.0423,0.0,133.8,0.0,90,Moored,5,T-AIS,20220930180036,20220930180036,2022-09-30 18:00:36,2022-09-30 18:00:36,,,3,,2022-09-30T18:00:36,POINT (136.8783 35.0423),82.0,NAGOYA,JP,2022-09-30 18:00:36,Docked,,Docked,None
