,mmsi,vessel_name,vessel_type,flag_country
0,563004200,DALI,Cargo,Singapore
1,414716000,SHI DAI 8,Cargo,China
2,538009573,SEVILLA CARRIER,Cargo,Marshall Islands
3,373388000,JUBILANT TREASURE,Cargo,Panama
4,371903000,CORAL WIND,Cargo,Panama
5,416002101,UNAVAILABLE,Fishing,Taiwan
6,432712000,ZEUS LEADER,Cargo,Japan
7,374346000,HORIZON 9,Cargo,Panama
8,352001155,BARI DIAMOND,Cargo,Panama
9,416003418,TUNG SHENG FU 27,Fishing,Taiwan
10,636020164,GARGANTUA,Cargo,Liberia
11,636019283,AM TARANG,Cargo,Liberia
12,373506000,ETERNAL JOY,Cargo,Panama
13,306337000,CALA PICCOLA,Cargo,Netherlands Antilles
14,563149700,MATER,Cargo,Singapore
15,440417000,GLOVIS DAYLIGHT,Cargo,South Korea
16,311001206,AFRICAN CORMORANT,Cargo,Bahamas
17,636015788,KIYO,Cargo,Liberia
18,413980000,YIN PING,Cargo,China
19,636021270,CHAILEASE VIRTUE,Cargo,Liberia
20,215676000,ORDU,Cargo,Malta
21,354359000,ZHIDA 1,Cargo,Panama
22,477961400,FLC FORTUNE,Cargo,Hong Kong
23,477883400,JIN YI,Cargo,Hong Kong
24,563114200,LOWLANDS CRIMSON,Cargo,Singapore
25,373351000,BASIC QUEEN,Cargo,Panama
26,371173000,HL ESPERANCE,Cargo,Panama
27,212139000,VENUS HERITAGE,Cargo,Cyprus
28,477296700,DYNA GLOBE,Cargo,Hong Kong
29,373075000,FRONTIER UNITY,Cargo,Panama
30,352582000,LOCH LONG,Cargo,Panama
31,431036000,PEGASUS ISLAND,Cargo,Japan
32,370962000,GLORIOUS SAKURA,Cargo,Panama
33,432979000,HARAMACHI MARU,Cargo,Japan
34,432921000,CORONA JOYFUL,Cargo,Japan
35,538003767,CORONA OPTIMUM,Cargo,Marshall Islands
36,353826000,BUNUN RESPECT,Cargo,Panama
37,257408000,HOEGH TOKYO,Cargo,Norway
38,538007501,MSXT BELLONA,Cargo,Marshall Islands
39,357775000,OMARA,Cargo,Panama
40,636016608,TAIYO,Cargo,Liberia
41,431769000,NIKKO MARU NO.1,Fishing,Japan
42,374792000,MEDI MATSUURA,Cargo,Panama
43,431722000,TOYOKUNI MARU NO.8,Fishing,Japan
44,431693000,SHOEI MARU NO.18,Fishing,Japan
45,431903000,NO83INARIMARU,Fishing,Japan
46,431410000,TOKUEIMARU NO.17,Fishing,Japan
47,431200970,UNAVAILABLE,Fishing,Japan
48,431255000,NIKKOMARU NO111,Fishing,Japan
49,577021000,KAI SHIN,Fishing,Vanuatu
50,538003446,KYOWA ORCHID,Cargo,Marshall Islands
51,636020141,SAKURA ANGEL,Cargo,Liberia
52,440283000,SEIYU,Cargo,South Korea
53,431484000,ASAHIMARU NO.11,Fishing,Japan
54,431200060,UNAVAILABLE,Fishing,Japan
55,412435469,OUYA18,Fishing,China
56,431171000,ASAHI MARU NO8,Fishing,Japan
57,431768000,"NIKKO MARU N0,11",Fishing,Japan
58,431487000,KYOYOMARU NO.3,Fishing,Japan
59,564407000,VANUATU CHIEF,Cargo,Singapore
60,374580000,UNITED ETERNITY,Cargo,Panama
61,416000201,UNAVAILABLE,Fishing,Taiwan
62,371139000,APOLLO OAK,Cargo,Panama
63,353216000,CRYSTAL TIGER,Cargo,Panama
64,416002526,CHYUAN YEOU TSAIRNO1,Fishing,Taiwan
65,636016835,FPMC B MAJESTY,Cargo,Liberia
66,477759600,EASTERN GLAMOUR,Cargo,Hong Kong
67,352978169,AWAJISAN MARU,Cargo,Panama
68,372645000,ORIENTAL IRIS,Cargo,Panama
69,414473000,ZHONGCHANGDINGSHENG,Cargo,China
70,212250000,KYPROS LAND,Cargo,Cyprus
71,431449000,CAPE BRITANNIA,Cargo,Japan
72,305908000,BBC RUBY,Cargo,Antigua and Barbuda
73,477936400,PUGET SOUND,Cargo,Hong Kong
74,432952000,AWOBASAN MARU,Cargo,Japan
75,370496000,GENCIANA,Cargo,Panama
76,432772000,MAIZURU BISHAMON,Cargo,Japan
77,416002465,UNAVAILABLE,Fishing,Taiwan
78,354003000,SHEN  JU,Cargo,Panama
79,636020750,PACIFIC PIONEER,Cargo,Liberia
80,477628700,OCEAN OCEANUS,Cargo,Hong Kong
81,353572000,WISTERIA SALUTE,Cargo,Panama
82,566857000,CEMTEX INNOVATION,Cargo,Singapore
83,355386000,ANDREA PALLADIO,Cargo,Panama
84,412420237,PINGTAIRONG39,Fishing,China
85,413458780,XIN CHEN HAI YANG,Cargo,China
86,412435461,OUYA17,Fishing,China
87,416002363,UNAVAILABLE,Fishing,Taiwan
88,240690000,ALEXANDRA,Cargo,Greece
89,353199000,RIO CHOAPA,Cargo,Panama
