,Cargo_mmsi,Fishing_mmsi,Cargo_geo,fishing_points,start
0,431001108,431014645,"POLYGON ((133.1112030775232 33.94366743570664, 133.1112763559944 33.94297630718989, 133.1112679986782 33.94228252054797, 133.1111780881342 33.94159275780332, 133.1110074923918 33.9409136620428, 133.1107578565089 33.94025177342985, 133.110431586647 33.93961346621529, 133.1100318268204 33.93900488735358, 133.1095624285466 33.93843189731557, 133.1090279136919 33.93790001366732, 133.1084334308735 33.93741435795746, 133.1077847058391 33.936979606424, 133.1070879863034 33.9365999449938, 133.1063499817742 33.93627902900703, 133.1055777989468 33.93601994805287, 133.1047788732895 33.93582519625389, 133.1039608974768 33.93569664828333, 133.1031317473597 33.93563554134535, 133.1022994061819 33.93564246329022, 133.101471887771 33.93571734697759, 133.1006571594404 33.93585947094151, 133.0998630653424 33.93606746634993, 133.0990972510056 33.93633933019112, 133.0983670897833 33.93667244456005, 133.0976796119147 33.93706360185903, 133.0970414368819 33.93750903567037, 133.0964587097114 33.93800445700438, 133.09593704183 33.93854509557475, 133.0954814570451 33.93912574570474, 133.0950963431684 33.93974081642342, 133.0947854097477 33.94038438527115, 133.0945516523158 33.94105025529741, 133.0943973235005 33.94173201470337, 133.094323911276 33.94242309855697, 133.0943321245679 33.94311685198642, 133.0944218863514 33.94380659424558, 133.0945923343137 33.94448568303488, 133.094841829076 33.94514757845875, 133.0951679699003 33.94578590600468, 133.0955676177308 33.94639451793682, 133.0960369253542 33.94696755251349, 133.0965713743877 33.94749949045702, 133.0971658187435 33.94798520813223, 133.0978145341522 33.94842002691982, 133.0985112732689 33.94879975830843, 133.0992493258333 33.94912074426939, 133.1000215833041 33.94937989252443, 133.1008206073446 33.94957470636471, 133.1016387014995 33.94970330873272, 133.1024679853698 33.94976446033385, 133.103300470572 33.94975757160147, 133.1041281377435 33.94968270839959, 133.1049430138541 33.94954059140688, 133.1057372490727 33.94933258918753, 133.1065031924471 33.94906070501499, 133.1072334656655 33.94872755757562, 133.1079210341846 33.94833635573798, 133.1085592750385 33.94789086763136, 133.1091420406715 33.947395384332, 133.1096637181787 33.94685467850747, 133.1101192833826 33.94627395841909, 133.1105043492242 33.94565881772623, 133.1108152080014 33.94501518157758, 133.11104886705 33.94434924951006, 133.1112030775232 33.94366743570664))",<zip object at 0x7f0750c11640>,2022-09-30 20:13:17
1,431402069,431014645,"POLYGON ((133.1134034131742 33.94626735027413, 133.1134766834837 33.9455762159118, 133.1134683148524 33.94488242430366, 133.1133783899492 33.94419265751991, 133.1132077769423 33.94351355868614, 133.1129581210558 33.9428516679953, 133.1126318286439 33.94221335971802, 133.1122320439384 33.9416047808189, 133.1117626186963 33.94103179176899, 133.1112280750437 33.94049991012474, 133.1106335618749 33.94001425741536, 133.1099848052298 33.93957950984989, 133.1092880531274 33.93919985331688, 133.1085500153889 33.93887894310934, 133.107777799029 33.9386198687608, 133.1069788398387 33.93842512433017, 133.1061608308152 33.93829658441982, 133.105331648129 33.93823548615637, 133.1044992753371 33.93824241730663, 133.1036717265713 33.93831731064169, 133.1028569694372 33.93845944460283, 133.1020628483641 33.93866745026187, 133.1012970091405 33.93893932450848, 133.100566825359 33.93927244933759, 133.0998793274761 33.93966361705085, 133.0992411351669 33.94010906113045, 133.0986583936241 33.94060449248789, 133.0981367144131 33.94114514074042, 133.0976811214508 33.94172580011811, 133.0972960026276 33.94234087956103, 133.0969850675395 33.94298445652551, 133.0967513117355 33.94365033398282, 133.0965969878281 33.94433210006255, 133.0965235837446 33.94502318976826, 133.0965318083323 33.94571694817174, 133.0966215844579 33.94640669447885, 133.096792049671 33.94708578635085, 133.0970415644267 33.94774768386241, 133.0973677277944 33.94838601248071, 133.0977674005017 33.9489946244595, 133.0982367350954 33.94956765805647, 133.0987712129331 33.95009959400327, 133.0993656876495 33.95058530868386, 133.1000144346827 33.9510201235077, 133.1007112063828 33.95139985000151, 133.1014492921758 33.95172083018375, 133.1022215831999 33.95197997183182, 133.1030206407951 33.95217477830045, 133.1038387681824 33.95230337260326, 133.1046680846427 33.95236451552333, 133.1055006014782 33.95235761757774, 133.1063282990214 33.95228274471932, 133.1071432039495 33.95214061771991, 133.1079374661534 33.95193260524018, 133.1087034344211 33.95166071065255, 133.1094337302008 33.95132755274379, 133.1101213187321 33.95093634048344, 133.1107595768563 33.95049084210129, 133.1113423568514 33.94999534877264, 133.1118640456743 33.94945463326174, 133.1123196190389 33.94887390392323, 133.1127046898077 33.94825875450563, 133.1130155502315 33.94761511024164, 133.1132492076306 33.94694917074633, 133.1134034131742 33.94626735027413))",<zip object at 0x7f0750c117c0>,2022-09-30 20:13:17
2,372033000,412549016,"POLYGON ((156.9564274209699 43.38124491467293, 156.9562656208277 43.38055361216412, 156.9560117076489 43.3798772050872, 156.9556681293753 43.37922220672333, 156.9552381970214 43.3785949240214, 156.9547260527042 43.37800139689885, 156.9541366296895 43.37744734011839, 156.9534756048423 43.37693808829899, 156.9527493439401 43.37647854458849, 156.9519648403768 43.37607313349092, 156.951129647847 43.37572575830012, 156.9502518076574 43.3754397635489, 156.9493397713639 43.37521790283304, 156.9484023194751 43.37506231231923, 156.9474484770028 43.37497449019074, 156.9464874266677 43.37495528222826, 156.9455284205916 43.37500487366432, 156.9445806913218 43.37512278738983, 156.9436533630396 43.37530788853037, 156.9427553638041 43.3755583953487, 156.94189533967 43.37587189636984, 156.9410815715051 43.37624537356486, 156.9403218953037 43.37667523137158, 156.9396236267615 43.37715733127486, 156.9389934908373 43.3776870316145, 156.9384375569778 43.37825923224013, 156.9379611806318 43.37886842358392, 156.9375689516164 43.37950873968105, 156.9372646498356 43.38017401462818, 156.937051208781 43.38085784193802, 156.9369306871696 43.38155363621898, 156.9369042489952 43.38225469658698, 156.9369721521917 43.38295427119865, 156.9371337460218 43.3836456222849, 156.9373874772201 43.38432209105787, 156.9377309048382 43.38497716186547, 156.9381607236511 43.38560452497482, 156.9386727959054 43.38619813737849, 156.9392621911044 43.38675228103642, 156.9399232334522 43.38726161799102, 156.9406495564987 43.38772124182274, 156.9414341644618 43.38812672494856, 156.9422694996349 43.38847416130659, 156.9431475152296 43.38876020401346, 156.9440597529492 43.38898209763043, 156.9449974245446 43.38913770472643, 156.9459514965606 43.389225526481, 156.9469127774553 43.38924471712778, 156.9478720062467 43.38919509209968, 156.9488199418287 43.38907712979672, 156.9497474520914 43.38889196696012, 156.9506456019824 43.38864138769804, 156.9515057396574 43.38832780626949, 156.9523195798852 43.38795424379337, 156.9530792839023 43.38752429910917, 156.9537775349439 43.38704211407071, 156.9544076087238 43.38651233360983, 156.9549634381835 43.38594006095595, 156.9554396718862 43.38533080844492, 156.9558317254966 43.38469044439217, 156.9561358258512 43.38402513654393, 156.9563490471992 43.38334129265188, 156.9564693392669 43.38264549874485, 156.9564955468817 43.38194445569255, 156.9564274209699 43.38124491467293))",<zip object at 0x7f0744944940>,2022-09-30 19:45:51
3,372033000,412549016,"POLYGON ((156.9564274209699 43.38124491467293, 156.9562656208277 43.38055361216412, 156.9560117076489 43.3798772050872, 156.9556681293753 43.37922220672333, 156.9552381970214 43.3785949240214, 156.9547260527042 43.37800139689885, 156.9541366296895 43.37744734011839, 156.9534756048423 43.37693808829899, 156.9527493439401 43.37647854458849, 156.9519648403768 43.37607313349092, 156.951129647847 43.37572575830012, 156.9502518076574 43.3754397635489, 156.9493397713639 43.37521790283304, 156.9484023194751 43.37506231231923, 156.9474484770028 43.37497449019074, 156.9464874266677 43.37495528222826, 156.9455284205916 43.37500487366432, 156.9445806913218 43.37512278738983, 156.9436533630396 43.37530788853037, 156.9427553638041 43.3755583953487, 156.94189533967 43.37587189636984, 156.9410815715051 43.37624537356486, 156.9403218953037 43.37667523137158, 156.9396236267615 43.37715733127486, 156.9389934908373 43.3776870316145, 156.9384375569778 43.37825923224013, 156.9379611806318 43.37886842358392, 156.9375689516164 43.37950873968105, 156.9372646498356 43.38017401462818, 156.937051208781 43.38085784193802, 156.9369306871696 43.38155363621898, 156.9369042489952 43.38225469658698, 156.9369721521917 43.38295427119865, 156.9371337460218 43.3836456222849, 156.9373874772201 43.38432209105787, 156.9377309048382 43.38497716186547, 156.9381607236511 43.38560452497482, 156.9386727959054 43.38619813737849, 156.9392621911044 43.38675228103642, 156.9399232334522 43.38726161799102, 156.9406495564987 43.38772124182274, 156.9414341644618 43.38812672494856, 156.9422694996349 43.38847416130659, 156.9431475152296 43.38876020401346, 156.9440597529492 43.38898209763043, 156.9449974245446 43.38913770472643, 156.9459514965606 43.389225526481, 156.9469127774553 43.38924471712778, 156.9478720062467 43.38919509209968, 156.9488199418287 43.38907712979672, 156.9497474520914 43.38889196696012, 156.9506456019824 43.38864138769804, 156.9515057396574 43.38832780626949, 156.9523195798852 43.38795424379337, 156.9530792839023 43.38752429910917, 156.9537775349439 43.38704211407071, 156.9544076087238 43.38651233360983, 156.9549634381835 43.38594006095595, 156.9554396718862 43.38533080844492, 156.9558317254966 43.38469044439217, 156.9561358258512 43.38402513654393, 156.9563490471992 43.38334129265188, 156.9564693392669 43.38264549874485, 156.9564955468817 43.38194445569255, 156.9564274209699 43.38124491467293))",<zip object at 0x7f0744944940>,2022-09-30 22:37:16
4,273313270,273824600,"POLYGON ((148.3579328153405 44.91667994591171, 148.3578674006875 44.91597483981106, 148.357705035914 44.91527768446116, 148.3574472880448 44.91459519340368, 148.3570966423955 44.91393393873422, 148.3566564785201 44.91330028783513, 148.356131037562 44.91270034208728, 148.3555253813284 44.91213987814974, 148.3548453434836 44.91162429237141, 148.3540974733349 44.91115854886848, 148.3532889727517 44.91074713176527, 148.3524276268293 44.91039400205758, 148.3515217289595 44.91010255951107, 148.3505800010319 44.90987560996076, 148.3496115095296 44.90971533832442, 148.3486255783242 44.90962328758863, 148.3476316990061 44.90960034396893, 148.3466394396081 44.90964672838579, 148.3456583525973 44.90976199433872, 148.3446978830155 44.90994503219819, 148.3437672776469 44.91019407987505, 148.3428754960847 44.91050673976475, 148.3420311245466 44.91088000180459, 148.3412422932664 44.91131027242298, 148.3405165982548 44.91179340910345, 148.3398610281779 44.91232476023239, 148.3392818970601 44.91289920984825, 148.3387847834561 44.91351122686351, 148.3383744766799 44.91415491828678, 148.3380549306111 44.91482408593465, 148.3378292255242 44.91551228608819, 148.3376995383139 44.91621289152146, 148.3376671214059 44.91691915530538, 148.3377322905628 44.91762427577338, 148.3378944217053 44.91832146202366, 148.3381519567868 44.91900399932708, 148.3385024186691 44.91966531381085, 148.3389424348604 44.92029903579397, 148.3394677698925 44.92089906116385, 148.3400733660289 44.92145961020162, 148.3407533919148 44.92197528328796, 148.3415012987027 44.92244111295157, 148.3423098831149 44.92285261175695, 148.3431713568347 44.92320581556857, 148.3440774215592 44.92349732177298, 148.3450193489865 44.92372432208882, 148.345988064967 44.92388462964746, 148.3469742370024 44.9239767000818, 148.3479683642475 44.92399964641935, 148.3489608691417 44.92395324763514, 148.3499421897835 44.92383795078183, 148.350902872153 44.9236548666764, 148.3518336612885 44.92340575918524, 148.3527255905349 44.92309302821149, 148.3535700679991 44.92271968654961, 148.3543589593764 44.92228933083101, 148.3550846663468 44.92180610684251, 148.3557401997845 44.9212746695529, 148.3563192470733 44.92070013823488, 148.3568162328799 44.9200880471157, 148.3572263728014 44.91944429203451, 148.3575457193704 44.91877507362111, 148.3577711999792 44.91808683754529, 148.3579006463595 44.91738621241346, 148.3579328153405 44.91667994591171))",<zip object at 0x7f06eb21ad80>,2022-09-30 22:09:03
5,273313270,273824600,"POLYGON ((148.3579328153405 44.91667994591171, 148.3578674006875 44.91597483981106, 148.357705035914 44.91527768446116, 148.3574472880448 44.91459519340368, 148.3570966423955 44.91393393873422, 148.3566564785201 44.91330028783513, 148.356131037562 44.91270034208728, 148.3555253813284 44.91213987814974, 148.3548453434836 44.91162429237141, 148.3540974733349 44.91115854886848, 148.3532889727517 44.91074713176527, 148.3524276268293 44.91039400205758, 148.3515217289595 44.91010255951107, 148.3505800010319 44.90987560996076, 148.3496115095296 44.90971533832442, 148.3486255783242 44.90962328758863, 148.3476316990061 44.90960034396893, 148.3466394396081 44.90964672838579, 148.3456583525973 44.90976199433872, 148.3446978830155 44.90994503219819, 148.3437672776469 44.91019407987505, 148.3428754960847 44.91050673976475, 148.3420311245466 44.91088000180459, 148.3412422932664 44.91131027242298, 148.3405165982548 44.91179340910345, 148.3398610281779 44.91232476023239, 148.3392818970601 44.91289920984825, 148.3387847834561 44.91351122686351, 148.3383744766799 44.91415491828678, 148.3380549306111 44.91482408593465, 148.3378292255242 44.91551228608819, 148.3376995383139 44.91621289152146, 148.3376671214059 44.91691915530538, 148.3377322905628 44.91762427577338, 148.3378944217053 44.91832146202366, 148.3381519567868 44.91900399932708, 148.3385024186691 44.91966531381085, 148.3389424348604 44.92029903579397, 148.3394677698925 44.92089906116385, 148.3400733660289 44.92145961020162, 148.3407533919148 44.92197528328796, 148.3415012987027 44.92244111295157, 148.3423098831149 44.92285261175695, 148.3431713568347 44.92320581556857, 148.3440774215592 44.92349732177298, 148.3450193489865 44.92372432208882, 148.345988064967 44.92388462964746, 148.3469742370024 44.9239767000818, 148.3479683642475 44.92399964641935, 148.3489608691417 44.92395324763514, 148.3499421897835 44.92383795078183, 148.350902872153 44.9236548666764, 148.3518336612885 44.92340575918524, 148.3527255905349 44.92309302821149, 148.3535700679991 44.92271968654961, 148.3543589593764 44.92228933083101, 148.3550846663468 44.92180610684251, 148.3557401997845 44.9212746695529, 148.3563192470733 44.92070013823488, 148.3568162328799 44.9200880471157, 148.3572263728014 44.91944429203451, 148.3575457193704 44.91877507362111, 148.3577711999792 44.91808683754529, 148.3579006463595 44.91738621241346, 148.3579328153405 44.91667994591171))",<zip object at 0x7f06eb21ad80>,2022-10-01 00:05:42
6,412549037,412440824,"POLYGON ((154.6552874886521 43.81967426816615, 154.6551496427813 43.81952515600997, 154.6511494857609 43.81562545342885, 154.6505350697244 43.81508386480611, 154.6498505702841 43.81458830084282, 154.6491025288042 43.81414349639092, 154.648298093272 43.81375370126827, 154.6474449500231 43.81342263968691, 154.6465512503434 43.81315347469998, 154.6456255326495 43.81294877800607, 154.6446766409864 43.81281050539786, 154.6437136406181 43.81273997808874, 154.6427457315142 43.81273787009557, 154.6417821605536 43.81280420179731, 154.64083213328 43.81293833973141, 154.6399047260483 43.81313900263002, 154.6390087993954 43.8134042736393, 154.6381529134604 43.81373161860563, 154.6373452462582 43.81411791025563, 154.6365935155839 43.81455945803996, 154.6359049052934 43.8150520433578, 154.6352859966614 43.81559095982671, 154.634742705474 43.81617105821485, 154.6342802254565 43.81678679560837, 154.6339029785787 43.81743228834496, 154.6336145727148 43.81810136820995, 154.6334177670657 43.81878764135859, 154.633314445678 43.81948454940282, 154.6333055993163 43.82018543207926, 154.6333913158674 43.8208835908997, 154.6335707793737 43.82157235317641, 154.6338422777068 43.82224513580942, 154.6342032188175 43.82289550822581, 154.6346501554063 43.82351725386867, 154.6351788177862 43.82410442964652, 154.6364787594632 43.82540452765247, 154.6365673883049 43.82549176950483, 154.639767266905 43.82859200661306, 154.6403865496277 43.82913427940808, 154.6410762821901 43.82962999269269, 154.6418298217305 43.83007437125728, 154.6426399102397 43.83046313434618, 154.6434987444978 43.83079253692781, 154.6443980512864 43.83105940580101, 154.6453291671475 43.83126117018833, 154.6462831219189 43.83139588652032, 154.6472507252377 43.83146225717119, 154.6482226551733 43.83145964296467, 154.6491895481331 43.83138806932934, 154.6501420891688 43.83124822604383, 154.6510711018086 43.83104146057544, 154.651967636547 43.83076976507628, 154.6528230571328 43.83043575716358, 154.6536291238237 43.83004265467069, 154.6543780727994 43.82959424461305, 154.6550626909682 43.82909484667023, 154.6556763854452 43.82854927153706, 154.656213247031 43.82796277454719, 154.6566681070814 43.82734100501728, 154.6570365872218 43.82668995180139, 154.6573151414299 43.82601588558135, 154.6575010900838 43.82532529845064, 154.6575926456528 43.8246248413739, 154.6575889297869 43.82392126012549, 154.6574899816463 43.82322133032469, 154.6572967573942 43.82253179219222, 154.6570111208642 43.82185928565713, 154.656635825496 43.82121028643748, 154.6561744877185 43.82059104370983, 154.6556315520397 43.82000751996618, 154.6552874886521 43.81967426816615))",<zip object at 0x7f07509cd040>,2022-09-30 22:09:24
7,412549037,412440824,"POLYGON ((154.6552874886521 43.81967426816615, 154.6551496427813 43.81952515600997, 154.6511494857609 43.81562545342885, 154.6505350697244 43.81508386480611, 154.6498505702841 43.81458830084282, 154.6491025288042 43.81414349639092, 154.648298093272 43.81375370126827, 154.6474449500231 43.81342263968691, 154.6465512503434 43.81315347469998, 154.6456255326495 43.81294877800607, 154.6446766409864 43.81281050539786, 154.6437136406181 43.81273997808874, 154.6427457315142 43.81273787009557, 154.6417821605536 43.81280420179731, 154.64083213328 43.81293833973141, 154.6399047260483 43.81313900263002, 154.6390087993954 43.8134042736393, 154.6381529134604 43.81373161860563, 154.6373452462582 43.81411791025563, 154.6365935155839 43.81455945803996, 154.6359049052934 43.8150520433578, 154.6352859966614 43.81559095982671, 154.634742705474 43.81617105821485, 154.6342802254565 43.81678679560837, 154.6339029785787 43.81743228834496, 154.6336145727148 43.81810136820995, 154.6334177670657 43.81878764135859, 154.633314445678 43.81948454940282, 154.6333055993163 43.82018543207926, 154.6333913158674 43.8208835908997, 154.6335707793737 43.82157235317641, 154.6338422777068 43.82224513580942, 154.6342032188175 43.82289550822581, 154.6346501554063 43.82351725386867, 154.6351788177862 43.82410442964652, 154.6364787594632 43.82540452765247, 154.6365673883049 43.82549176950483, 154.639767266905 43.82859200661306, 154.6403865496277 43.82913427940808, 154.6410762821901 43.82962999269269, 154.6418298217305 43.83007437125728, 154.6426399102397 43.83046313434618, 154.6434987444978 43.83079253692781, 154.6443980512864 43.83105940580101, 154.6453291671475 43.83126117018833, 154.6462831219189 43.83139588652032, 154.6472507252377 43.83146225717119, 154.6482226551733 43.83145964296467, 154.6491895481331 43.83138806932934, 154.6501420891688 43.83124822604383, 154.6510711018086 43.83104146057544, 154.651967636547 43.83076976507628, 154.6528230571328 43.83043575716358, 154.6536291238237 43.83004265467069, 154.6543780727994 43.82959424461305, 154.6550626909682 43.82909484667023, 154.6556763854452 43.82854927153706, 154.656213247031 43.82796277454719, 154.6566681070814 43.82734100501728, 154.6570365872218 43.82668995180139, 154.6573151414299 43.82601588558135, 154.6575010900838 43.82532529845064, 154.6575926456528 43.8246248413739, 154.6575889297869 43.82392126012549, 154.6574899816463 43.82322133032469, 154.6572967573942 43.82253179219222, 154.6570111208642 43.82185928565713, 154.656635825496 43.82121028643748, 154.6561744877185 43.82059104370983, 154.6556315520397 43.82000751996618, 154.6552874886521 43.81967426816615))",<zip object at 0x7f07509cd040>,2022-10-01 00:04:53
8,273313270,273824600,"POLYGON ((148.3579328153405 44.91667994591171, 148.3578674006875 44.91597483981106, 148.357705035914 44.91527768446116, 148.3574472880448 44.91459519340368, 148.3570966423955 44.91393393873422, 148.3566564785201 44.91330028783513, 148.356131037562 44.91270034208728, 148.3555253813284 44.91213987814974, 148.3548453434836 44.91162429237141, 148.3540974733349 44.91115854886848, 148.3532889727517 44.91074713176527, 148.3524276268293 44.91039400205758, 148.3515217289595 44.91010255951107, 148.3505800010319 44.90987560996076, 148.3496115095296 44.90971533832442, 148.3486255783242 44.90962328758863, 148.3476316990061 44.90960034396893, 148.3466394396081 44.90964672838579, 148.3456583525973 44.90976199433872, 148.3446978830155 44.90994503219819, 148.3437672776469 44.91019407987505, 148.3428754960847 44.91050673976475, 148.3420311245466 44.91088000180459, 148.3412422932664 44.91131027242298, 148.3405165982548 44.91179340910345, 148.3398610281779 44.91232476023239, 148.3392818970601 44.91289920984825, 148.3387847834561 44.91351122686351, 148.3383744766799 44.91415491828678, 148.3380549306111 44.91482408593465, 148.3378292255242 44.91551228608819, 148.3376995383139 44.91621289152146, 148.3376671214059 44.91691915530538, 148.3377322905628 44.91762427577338, 148.3378944217053 44.91832146202366, 148.3381519567868 44.91900399932708, 148.3385024186691 44.91966531381085, 148.3389424348604 44.92029903579397, 148.3394677698925 44.92089906116385, 148.3400733660289 44.92145961020162, 148.3407533919148 44.92197528328796, 148.3415012987027 44.92244111295157, 148.3423098831149 44.92285261175695, 148.3431713568347 44.92320581556857, 148.3440774215592 44.92349732177298, 148.3450193489865 44.92372432208882, 148.345988064967 44.92388462964746, 148.3469742370024 44.9239767000818, 148.3479683642475 44.92399964641935, 148.3489608691417 44.92395324763514, 148.3499421897835 44.92383795078183, 148.350902872153 44.9236548666764, 148.3518336612885 44.92340575918524, 148.3527255905349 44.92309302821149, 148.3535700679991 44.92271968654961, 148.3543589593764 44.92228933083101, 148.3550846663468 44.92180610684251, 148.3557401997845 44.9212746695529, 148.3563192470733 44.92070013823488, 148.3568162328799 44.9200880471157, 148.3572263728014 44.91944429203451, 148.3575457193704 44.91877507362111, 148.3577711999792 44.91808683754529, 148.3579006463595 44.91738621241346, 148.3579328153405 44.91667994591171))",<zip object at 0x7f07518d1680>,2022-10-01 00:05:42
9,412549037,412440824,"POLYGON ((154.6365354220798 43.82545740306577, 154.6365673883049 43.82549176950483, 154.639767266905 43.82859200661306, 154.6403865496277 43.82913427940808, 154.6410762821901 43.82962999269269, 154.6418298217305 43.83007437125728, 154.6426399102397 43.83046313434618, 154.6434987444978 43.83079253692781, 154.6443980512864 43.83105940580101, 154.6453291671475 43.83126117018833, 154.6462831219189 43.83139588652032, 154.6472507252377 43.83146225717119, 154.6482226551733 43.83145964296467, 154.6491895481331 43.83138806932934, 154.6501420891688 43.83124822604383, 154.6510711018086 43.83104146057544, 154.651967636547 43.83076976507628, 154.6528230571328 43.83043575716358, 154.6536291238237 43.83004265467069, 154.6543780727994 43.82959424461305, 154.6550626909682 43.82909484667023, 154.6556763854452 43.82854927153706, 154.656213247031 43.82796277454719, 154.6566681070814 43.82734100501728, 154.6570365872218 43.82668995180139, 154.6573151414299 43.82601588558135, 154.6575010900838 43.82532529845064, 154.6575926456528 43.8246248413739, 154.6575889297869 43.82392126012549, 154.6574899816463 43.82322133032469, 154.6572967573942 43.82253179219222, 154.6570111208642 43.82185928565713, 154.656635825496 43.82121028643748, 154.6561744877185 43.82059104370983, 154.6556315520397 43.82000751996618, 154.655272951524 43.81966018772768, 154.6551183325587 43.8194948026802, 154.6523182293057 43.81679500960635, 154.6516973277409 43.81625379859145, 154.6510061662244 43.81575925635823, 154.6502514006428 43.81531614440123, 154.6494402987743 43.81492872898692, 154.6485806703359 43.81460074011138, 154.6476807918339 43.81433533561768, 154.646749326941 43.81413507081747, 154.6457952431618 43.81400187390815, 154.644827725587 43.81393702742074, 154.6438560885605 43.81394115587745, 154.6428896861076 43.81401421977643, 154.6419378219795 43.81415551596234, 154.6410096601775 43.81436368437925, 154.6401141368127 43.81463672114183, 154.6392598741463 43.81497199779955, 154.6384550976334 43.8153662866101, 154.6377075567677 43.81581579157994, 154.6370244504857 43.81631618497481, 154.6364123578488 43.81686264895039, 154.6358771746681 43.81744992190399, 154.6354240566862 43.81807234910274, 154.6350573698608 43.81872393710217, 154.6347806482352 43.81939841143321, 154.6345965598012 43.82008927700231, 154.6345068806895 43.82078988062514, 154.6345124779393 43.8214934750915, 154.6346133010184 43.82219328414521, 154.6348083821802 43.82288256775293, 154.6350958456593 43.8235546870332, 154.6354729256221 43.82420316821955, 154.6359359927028 43.82482176504055, 154.6364805888754 43.82540451891487, 154.6365354220798 43.82545740306577))",<zip object at 0x7f06ebc8f200>,2022-10-01 00:09:33
